type,category
Electric,Special
Grass,Special
Rock,Physical
Poison,Special
Poison,Status
Poison,Physical
Poison,Special
Flying,Physical
Normal,Status
Flying,Physical
Flying,Special
Normal,Status
Psychic,Status
Flying,Special
Flying,Special
Fighting,Physical
Psychic,Status
Psychic,Status
Steel,Physical
Rock,Special
Grass,Special
Water,Physical
Water,Status
Water,Physical
Fighting,Physical
Grass,Status
Fairy,Status
Normal,Status
Dark,Physical
Ghost,Physical
Ghost,Special
Bug,Physical
Normal,Status
Fighting,Special
Electric,Physical
Ice,Special
Ice,Status
Steel,Status
Ice,Physical
Fairy,Status
Dark,Special
Poison,Status
Normal,Physical
Psychic,Status
Normal,Status
Flying,Physical
Dark,Physical
Steel,Physical
Steel,Physical
Poison,Special
Normal,Status
Normal,Status
Normal,Physical
Normal,Physical
Dark,Physical
Dark,Physical
Fire,Special
Fire,Physical
Ice,Special
Normal,Status
Grass,Physical
Fire,Special
Fighting,Physical
Normal,Physical
Electric,Physical
Electric,Physical
Ground,Physical
Ground,Physical
Ground,Physical
Normal,Special
Flying,Physical
Water,Special
Grass,Physical
Flying,Physical
Dragon,Physical
Normal,Physical
Fighting,Physical
Water,Special
Dark,Physical
Water,Special
Water,Special
Bug,Physical
Bug,Special
Fighting,Status
Ground,Physical
Steel,Physical
Grass,Physical
Fire,Special
Fire,Special
Electric,Special
Psychic,Status
Normal,Status
Normal,Status
Electric,Physical
Normal,Status
Electric,Status
Electric,Special
Fairy,Status
Flying,Special
Normal,Physical
Fighting,Physical
Water,Physical
Dragon,Special
Dragon,Status
Dragon,Special
Poison,Special
Fighting,Physical
Fighting,Status
Poison,Status
Normal,Physical
Normal,Status
Ghost,Status
Psychic,Special
Normal,Physical
Rock,Physical
Normal,Status
Normal,Status
Normal,Status
Dragon,Special
Steel,Physical
Poison,Status
Psychic,Status
Grass,Status
Grass,Status
Fighting,Physical
Normal,Status
Normal,Physical
Water,Physical
Fairy,Status
Fighting,Physical
Poison,Physical
Dark,Physical
Normal,Physical
Normal,Physical
Ghost,Status
Normal,Physical
Dark,Physical
Dark,Special
Dark,Status
Fairy,Special
Fairy,Status
Bug,Status
Normal,Status
Flying,Status
Ghost,Status
Fighting,Status
Dragon,Physical
Rock,Physical
Ground,Physical
Normal,Status
Fairy,Special
Electric,Special
Water,Physical
Normal,Physical
Steel,Special
Normal,Physical
Normal,Physical
Steel,Physical
Fighting,Physical
Normal,Physical
Normal,Status
Dragon,Special
Flying,Physical
Dragon,Special
Dragon,Physical
Dragon,Status
Dragon,Physical
Dragon,Special
Dragon,Physical
Dragon,Special
Dragon,Special
Dragon,Physical
Dragon,Physical
Fairy,Special
Fighting,Physical
Psychic,Special
Flying,Physical
Ground,Physical
Grass,Physical
Dragon,Physical
Flying,Physical
Dragon,Special
Fighting,Physical
Ground,Special
Ground,Physical
Normal,Special
Electric,Status
Psychic,Special
Normal,Physical
Electric,Status
Electric,Status
Electric,Special
Electric,Special
Dark,Status
Fire,Special
Normal,Status
Normal,Physical
Normal,Status
Grass,Special
Normal,Status
Fire,Special
Dragon,Special
Psychic,Special
Normal,Physical
Psychic,Special
Normal,Status
Normal,Physical
Normal,Physical
Fairy,Status
Fairy,Special
Normal,Physical
Dark,Status
Dark,Physical
Normal,Physical
Flying,Status
Normal,Physical
Dark,Physical
Bug,Physical
Fire,Special
Dark,Special
Fighting,Special
Fire,Special
Fire,Physical
Fire,Physical
Fire,Special
Fire,Physical
Fire,Special
Bug,Physical
Water,Physical
Ground,Physical
Normal,Physical
Fire,Special
Fire,Physical
Fire,Physical
Fire,Special
Fire,Physical
Normal,Status
Steel,Special
Dark,Status
Fairy,Special
Dark,Physical
Water,Physical
Flying,Physical
Fairy,Status
Fairy,Status
Flying,Physical
Fighting,Physical
Fighting,Special
Normal,Status
Fighting,Physical
Normal,Status
Fighting,Physical
Normal,Status
Grass,Status
Dark,Physical
Ice,Special
Ice,Physical
Psychic,Special
Ice,Special
Grass,Special
Ice,Special
Normal,Physical
Normal,Physical
Bug,Physical
Normal,Physical
Electric,Physical
Fire,Special
Psychic,Special
Poison,Status
Steel,Physical
Steel,Status
Psychic,Special
Fairy,Status
Grass,Special
Normal,Physical
Electric,Physical
Ice,Physical
Ice,Special
Normal,Status
Psychic,Special
Bug,Physical
Water,Physical
Fire,Physical
Fighting,Physical
Normal,Physical
Dragon,Physical
Grass,Physical
Fairy,Physical
Fire,Physical
Water,Physical
Normal,Physical
Psychic,Physical
Water,Physical
Poison,Physical
Steel,Physical
Dark,Physical
Water,Physical
Normal,Physical
Ice,Physical
Ground,Physical
Fairy,Physical
Dark,Physical
Steel,Physical
Water,Physical
Electric,Physical
Grass,Physical
Grass,Physical
Ghost,Physical
Grass,Physical
Rock,Physical
Electric,Physical
Fire,Physical
Flying,Physical
Grass,Special
Grass,Special
Grass,Status
Grass,Physical
Grass,Status
Grass,Physical
Psychic,Status
Normal,Status
Normal,Status
Ghost,Status
Fairy,Special
Psychic,Status
Psychic,Status
Normal,Physical
Poison,Physical
Flying,Special
Steel,Physical
Ice,Status
Fighting,Physical
Normal,Status
Normal,Status
Ice,Status
Normal,Physical
Normal,Physical
Rock,Physical
Normal,Status
Psychic,Status
Psychic,Status
Bug,Status
Psychic,Status
Psychic,Physical
Psychic,Status
Fire,Physical
Fire,Special
Steel,Physical
Normal,Status
Ghost,Special
Normal,Special
Bug,Special
Dark,Special
Dragon,Special
Electric,Special
Fighting,Special
Fire,Special
Flying,Special
Ghost,Special
Grass,Special
Ground,Special
Ice,Special
Poison,Special
Psychic,Special
Rock,Special
Steel,Special
Water,Special
Ground,Physical
Fighting,Physical
Normal,Physical
Normal,Status
Dark,Status
Normal,Physical
Normal,Physical
Grass,Physical
Normal,Status
Flying,Special
Water,Special
Water,Special
Water,Physical
Normal,Special
Normal,Physical
Dark,Physical
Psychic,Special
Normal,Special
Psychic,Status
Ice,Physical
Ice,Special
Ice,Special
Ice,Physical
Ice,Physical
Ice,Physical
Ice,Physical
Ice,Physical
Ice,Physical
Ice,Special
Psychic,Status
Fire,Special
Fire,Special
Fire,Physical
Bug,Special
Grass,Status
Psychic,Status
Electric,Status
Steel,Status
Steel,Physical
Steel,Physical
Dark,Physical
Normal,Special
Fighting,Physical
Grass,Status
Fighting,Physical
Psychic,Status
Steel,Status
Dark,Physical
Ground,Physical
Normal,Status
Dark,Physical
Normal,Physical
Fire,Special
Grass,Physical
Grass,Physical
Grass,Special
Grass,Special
Bug,Physical
Grass,Status
Normal,Status
Fairy,Physical
Ghost,Physical
Water,Status
Fairy,Special
Psychic,Status
Psychic,Special
Water,Physical
Normal,Status
Normal,Status
Fighting,Physical
Fighting,Physical
Normal,Status
Psychic,Status
Bug,Physical
Psychic,Special
Fighting,Physical
Grass,Special
Psychic,Status
Psychic,Status
Psychic,Status
Fire,Special
Steel,Physical
Electric,Status
Electric,Status
Ground,Physical
Dark,Physical
Fighting,Status
Flying,Physical
Dark,Physical
Fire,Physical
Bug,Physical
Water,Physical
Normal,Status
Ice,Physical
Fighting,Physical
Electric,Physical
Psychic,Physical
Poison,Physical
Grass,Physical
Ghost,Physical
Ground,Physical
Rock,Physical
Fairy,Physical
Steel,Physical
Normal,Physical
Dragon,Physical
Normal,Status
Psychic,Status
Normal,Status
Grass,Special
Bug,Physical
Normal,Physical
Normal,Physical
Dark,Status
Ghost,Special
Steel,Physical
Steel,Physical
Steel,Status
Fighting,Physical
Rock,Special
Steel,Physical
Normal,Status
Normal,Status
Normal,Status
Fire,Special
Normal,Status
Normal,Status
Psychic,Status
Psychic,Special
Flying,Status
Steel,Special
Ice,Status
Psychic,Special
Fairy,Special
Fairy,Status
Fairy,Special
Ghost,Special
Fairy,Status
Normal,Status
Ground,Special
Ground,Special
Ground,Special
Ground,Status
Water,Special
Normal,Physical
Fire,Special
Dark,Status
Normal,Physical
Normal,Status
Fairy,Special
Grass,Physical
Ghost,Physical
Dark,Special
Ghost,Status
Ghost,Special
Dark,Physical
Normal,Status
Fighting,Status
Electric,Physical
Flying,Special
Dark,Status
Water,Special
Water,Special
Fighting,Status
Normal,Status
Ghost,Special
Water,Special
Dragon,Physical
Electric,Special
Fire,Special
Normal,Status
Rock,Special
Electric,Special
Dark,Status
Dark,Physical
Normal,Physical
Flying,Physical
Normal,Status
Grass,Physical
Grass,Special
Ghost,Physical
Psychic,Special
Electric,Special
Bug,Physical
Electric,Physical
Normal,Status
Fairy,Physical
Flying,Physical
Poison,Physical
Poison,Status
Poison,Physical
Poison,Status
Poison,Physical
Poison,Physical
Bug,Special
Ghost,Physical
Normal,Physical
Bug,Status
Ice,Special
Rock,Special
Psychic,Status
Psychic,Status
Psychic,Status
Dark,Physical
Fighting,Physical
Grass,Physical
Ground,Physical
Normal,Physical
Psychic,Special
Normal,Status
Psychic,Special
Normal,Status
Psychic,Special
Psychic,Physical
Psychic,Status
Psychic,Special
Psychic,Physical
Psychic,Status
Psychic,Special
Psychic,Special
Psychic,Special
Normal,Physical
Dark,Physical
Poison,Status
Dark,Physical
Fire,Physical
Dark,Status
Normal,Physical
Fighting,Status
Bug,Status
Normal,Physical
Bug,Status
Water,Status
Normal,Physical
Grass,Physical
Water,Physical
Normal,Special
Normal,Status
Normal,Status
Psychic,Status
Normal,Status
Normal,Status
Normal,Special
Psychic,Status
Normal,Physical
Normal,Physical
Normal,Special
Fighting,Physical
Fighting,Physical
Electric,Special
Normal,Status
Dragon,Special
Rock,Physical
Normal,Physical
Rock,Status
Rock,Physical
Fighting,Physical
Rock,Physical
Rock,Physical
Rock,Physical
Psychic,Status
Fighting,Physical
Rock,Physical
Flying,Status
Ground,Status
Normal,Special
Fire,Physical
Fighting,Physical
Normal,Status
Ground,Status
Rock,Status
Ground,Physical
Grass,Physical
Bug,Physical
Water,Special
Dragon,Physical
Normal,Status
Ground,Special
Normal,Physical
Normal,Status
Fire,Special
Steel,Physical
Normal,Physical
Fighting,Special
Grass,Physical
Grass,Special
Fighting,Physical
Normal,Physical
Ghost,Special
Ghost,Physical
Ghost,Physical
Ghost,Physical
Ghost,Physical
Ghost,Physical
Ghost,Physical
Normal,Status
Psychic,Physical
Ice,Special
Poison,Special
Normal,Status
Fire,Special
Steel,Status
Electric,Special
Ground,Status
Bug,Special
Bug,Special
Normal,Status
Normal,Status
Ghost,Physical
Fire,Physical
Normal,Status
Psychic,Status
Bug,Physical
Normal,Physical
Flying,Physical
Flying,Physical
Fighting,Physical
Normal,Status
Normal,Physical
Normal,Physical
Grass,Status
Normal,Status
Poison,Special
Poison,Special
Poison,Special
Rock,Physical
Steel,Physical
Normal,Physical
Poison,Special
Normal,Status
Grass,Physical
Dark,Special
Dark,Status
Water,Special
Normal,Special
Water,Status
Normal,Status
Grass,Special
Grass,Physical
Normal,Special
Ghost,Physical
Dragon,Special
Electric,Physical
Water,Special
Fairy,Special
Ghost,Physical
Psychic,Status
Bug,Status
Normal,Physical
Ground,Status
Grass,Status
Fairy,Physical
Ghost,Physical
Normal,Special
Ghost,Status
Normal,Status
Rock,Physical
Water,Special
Grass,Status
Normal,Status
Rock,Status
Water,Special
Bug,Physical
Steel,Special
Steel,Physical
Steel,Physical
Bug,Status
Normal,Status
Electric,Special
Normal,Physical
Ground,Physical
Rock,Physical
Psychic,Special
Fighting,Physical
Fairy,Special
Normal,Physical
Grass,Status
Bug,Status
Normal,Physical
Bug,Special
Normal,Status
Grass,Status
Fighting,Physical
Normal,Status
Ice,Physical
Dark,Physical
Fire,Status
Steel,Physical
Normal,Physical
Fighting,Physical
Normal,Status
Flying,Physical
Water,Special
Water,Physical
Normal,Status
Normal,Status
Fairy,Status
Normal,Status
Normal,Special
Dark,Status
Normal,Status
Psychic,Special
Grass,Status
Normal,Physical
Bug,Status
Normal,Physical
Normal,Status
Flying,Status
Normal,Physical
Rock,Status
Dark,Status
Normal,Status
Normal,Status
Normal,Special
Ground,Physical
Normal,Status
Psychic,Status
Psychic,Status
Normal,Special
Dark,Physical
Ground,Physical
Ground,Physical
Normal,Physical
Dark,Physical
Electric,Special
Electric,Special
Electric,Special
Electric,Physical
Fighting,Physical
Electric,Physical
Electric,Special
Electric,Status
Normal,Status
Dark,Status
Dark,Status
Poison,Status
Poison,Status
Poison,Status
Normal,Status
Normal,Special
Psychic,Status
Ghost,Status
Psychic,Status
Ice,Physical
Fighting,Physical
Grass,Physical
Normal,Special
Bug,Physical
Fairy,Physical
Dragon,Special
Bug,Physical
Normal,Special
Fighting,Special
Fire,Physical
Normal,Physical
Poison,Status
Poison,Special
Grass,Physical
Normal,Physical
Fighting,Physical
Electric,Special
Electric,Physical
Fighting,Physical
Water,Physical
Water,Special
Water,Special
Water,Special
Water,Special
Water,Status
Water,Special
Normal,Special
Water,Special
Normal,Status
Dark,Physical
Rock,Status
Electric,Physical
Fire,Status
Flying,Physical
Normal,Status
Water,Status
Psychic,Status
Grass,Physical
Normal,Status
Grass,Status
Normal,Physical
Normal,Special
Bug,Physical
Normal,Status
Electric,Special
Psychic,Physical
Electric,Physical
Electric,Physical
