tier,name,hability_1,hability_2,hidden_hability,HP,Atk,Def,SpA,SpD,Spe,BST
LC,Bulbasaur,Overgrow,Chlorophyll,,45,49,49,65,65,45,318
NFE,Ivysaur,Overgrow,Chlorophyll,,60,62,63,80,80,60,405
UU,Venusaur,Overgrow,Chlorophyll,,80,82,83,100,100,80,525
Illegal,Venusaur-Mega,Thick Fat,,,80,100,123,122,120,80,625
AG,Venusaur-Gmax,Overgrow,Chlorophyll,,80,82,83,100,100,80,525
LC,Charmander,Blaze,Solar Power,,39,52,43,60,50,65,309
NFE,Charmeleon,Blaze,Solar Power,,58,64,58,80,65,80,405
PU,Charizard,Blaze,Solar Power,,78,84,78,109,85,100,534
Illegal,Charizard-Mega-X,Tough Claws,,,78,130,111,130,85,100,634
Illegal,Charizard-Mega-Y,Drought,,,78,104,78,159,115,100,634
AG,Charizard-Gmax,Blaze,Solar Power,,78,84,78,109,85,100,534
LC,Squirtle,Torrent,Rain Dish,,44,48,65,50,64,43,314
NFE,Wartortle,Torrent,Rain Dish,,59,63,80,65,80,58,405
NU,Blastoise,Torrent,Rain Dish,,79,83,100,85,105,78,530
Illegal,Blastoise-Mega,Mega Launcher,,,79,103,120,135,115,78,630
AG,Blastoise-Gmax,Torrent,Rain Dish,,79,83,100,85,105,78,530
LC,Caterpie,Shield Dust,Run Away,,45,30,35,20,20,45,195
NFE,Metapod,Shed Skin,,,50,20,55,25,25,30,205
(PU),Butterfree,Compound Eyes,Tinted Lens,,60,45,50,90,80,70,395
AG,Butterfree-Gmax,Compound Eyes,Tinted Lens,,60,45,50,90,80,70,395
Illegal,Weedle,Shield Dust,Run Away,,40,35,30,20,20,50,195
Illegal,Kakuna,Shed Skin,,,45,25,50,25,25,35,205
Illegal,Beedrill,Swarm,Sniper,,65,90,40,45,80,75,395
Illegal,Beedrill-Mega,Adaptability,,,65,150,40,15,80,145,495
Illegal,Pidgey,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251
Illegal,Pidgeotto,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349
Illegal,Pidgeot,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479
Illegal,Pidgeot-Mega,No Guard,,,83,80,80,135,80,121,579
Illegal,Rattata,Run Away,Guts,Hustle,30,56,35,25,35,72,253
Illegal,Rattata-Alola,Gluttony,Hustle,Thick Fat,30,56,35,25,35,72,253
Illegal,Raticate,Run Away,Guts,Hustle,55,81,60,50,70,97,413
Illegal,Raticate-Alola,Gluttony,Hustle,Thick Fat,75,71,70,40,80,77,413
Illegal,Raticate-Alola-Totem,Thick Fat,,,75,71,70,40,80,77,413
Illegal,Spearow,Keen Eye,Sniper,,40,60,30,31,31,70,262
Illegal,Fearow,Keen Eye,Sniper,,65,90,65,61,61,100,442
Illegal,Ekans,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288
Illegal,Arbok,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448
NFE,Pikachu,Static,Lightning Rod,,35,55,40,50,50,90,320
Illegal,Pikachu-Rock-Star,Lightning Rod,,,35,55,40,50,50,90,320
Illegal,Pikachu-Belle,Lightning Rod,,,35,55,40,50,50,90,320
Illegal,Pikachu-Pop-Star,Lightning Rod,,,35,55,40,50,50,90,320
Illegal,Pikachu-PhD,Lightning Rod,,,35,55,40,50,50,90,320
Illegal,Pikachu-Libre,Lightning Rod,,,35,55,40,50,50,90,320
(PU),Pikachu-Original,Static,Lightning Rod,,35,55,40,50,50,90,320
(PU),Pikachu-Hoenn,Static,Lightning Rod,,35,55,40,50,50,90,320
(PU),Pikachu-Sinnoh,Static,Lightning Rod,,35,55,40,50,50,90,320
(PU),Pikachu-Unova,Static,Lightning Rod,,35,55,40,50,50,90,320
(PU),Pikachu-Kalos,Static,Lightning Rod,,35,55,40,50,50,90,320
(PU),Pikachu-Alola,Static,Lightning Rod,,35,55,40,50,50,90,320
(PU),Pikachu-Partner,Static,Lightning Rod,,35,55,40,50,50,90,320
Illegal,Pikachu-Starter,Static,Lightning Rod,,45,80,50,75,60,120,430
AG,Pikachu-Gmax,Static,Lightning Rod,,35,55,40,50,50,90,320
(PU),Pikachu-World,Static,Lightning Rod,,35,55,40,50,50,90,320
(PU),Raichu,Static,Lightning Rod,,60,90,55,90,80,110,485
PUBL,Raichu-Alola,Surge Surfer,,,60,85,50,95,85,110,485
LC,Sandshrew,Sand Veil,Sand Rush,,50,75,85,20,30,40,300
NUBL,Sandshrew-Alola,Snow Cloak,Slush Rush,,50,75,90,10,35,40,300
PU,Sandslash,Sand Veil,Sand Rush,,75,100,110,45,55,65,450
NUBL,Sandslash-Alola,Snow Cloak,Slush Rush,,75,100,120,25,65,65,450
LC,Nidoran-F,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275
NFE,Nidorina,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365
RU,Nidoqueen,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505
LC,Nidoran-M,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273
NFE,Nidorino,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365
UU,Nidoking,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505
NFE,Clefairy,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323
OU,Clefable,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483
LC,Vulpix,Flash Fire,Drought,,38,41,40,50,65,65,299
NFE,Vulpix-Alola,Snow Cloak,Snow Warning,,38,41,40,50,65,65,299
(PU),Ninetales,Flash Fire,Drought,,73,76,75,81,100,100,505
OU,Ninetales-Alola,Snow Cloak,Snow Warning,,73,67,75,81,100,109,505
NFE,Jigglypuff,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,270
(PU),Wigglytuff,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,435
LC,Zubat,Inner Focus,Infiltrator,,40,45,35,30,40,55,245
NFE,Golbat,Inner Focus,Infiltrator,,75,80,70,65,75,90,455
LC,Oddish,Chlorophyll,Run Away,,45,50,55,75,65,30,320
NFE,Gloom,Chlorophyll,Stench,,60,65,70,85,75,40,395
NU,Vileplume,Chlorophyll,Effect Spore,,75,80,85,110,90,50,490
Illegal,Paras,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285
Illegal,Parasect,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405
Illegal,Venonat,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,305
Illegal,Venomoth,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,450
LC,Diglett,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265
LC,Diglett-Alola,Sand Veil,Tangling Hair,Sand Force,10,55,30,35,45,90,265
(PU),Dugtrio,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425
(PU),Dugtrio-Alola,Sand Veil,Tangling Hair,Sand Force,35,100,60,50,70,110,425
LC,Meowth,Pickup,Technician,Unnerve,40,45,35,40,40,90,290
LC,Meowth-Alola,Pickup,Technician,Rattled,40,35,35,50,40,90,290
LC,Meowth-Galar,Pickup,Tough Claws,Unnerve,50,65,55,40,40,40,290
AG,Meowth-Gmax,Pickup,Technician,Unnerve,40,45,35,40,40,90,290
(PU),Persian,Limber,Technician,Unnerve,65,70,60,65,65,115,440
(PU),Persian-Alola,Fur Coat,Technician,Rattled,65,60,60,75,65,115,440
LC,Psyduck,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320
(PU),Golduck,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500
Illegal,Mankey,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,305
Illegal,Primeape,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,455
LC,Growlithe,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,350
Illegal,Growlithe-Hisui,Intimidate,Flash Fire,Justified,60,75,45,65,50,55,350
NU,Arcanine,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,555
Illegal,Arcanine-Hisui,Intimidate,Flash Fire,Justified,95,115,80,95,80,90,555
LC,Poliwag,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,300
NFE,Poliwhirl,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,385
(PU),Poliwrath,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,510
LC,Abra,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,310
